symbol,close_eur,source,retrieved_utc
AALBERTS,42.88,"beurs.fd.nl (vorige, live 2026-09-02 10:01 CET)",2026-09-02T08:01Z
ABNAMRO,41.69,"beurs.fd.nl (vorige, live 2026-09-02 10:01 CET)",2026-09-02T08:01Z
ADYEN,1006.80,"beurs.fd.nl (vorige, live 2026-09-02 10:01 CET)",2026-09-02T08:01Z
AEGON,7.99,"beurs.fd.nl (vorige, live 2026-09-02 10:01 CET)",2026-09-02T08:01Z
AHOLD,30.84,"beurs.fd.nl (vorige, live 2026-09-02 10:01 CET)",2026-09-02T08:01Z
AKZO,60.10,"beurs.fd.nl (vorige, live 2026-09-02 10:01 CET)",2026-09-02T08:01Z
ASMI,786.00,"beurs.fd.nl (vorige, live 2026-09-02 10:01 CET)",2026-09-02T08:01Z
ASML,1435.40,"beurs.fd.nl (vorige, live 2026-09-02 10:01 CET)",2026-09-02T08:01Z
ASR,72.82,"beurs.fd.nl (vorige, live 2026-09-02 10:01 CET)",2026-09-02T08:01Z
BESI,189.15,"beurs.fd.nl (vorige, live 2026-09-02 10:01 CET)",2026-09-02T08:01Z
CVC,14.00,"beurs.fd.nl (vorige, live 2026-09-02 10:01 CET)",2026-09-02T08:01Z
DSMFIR,95.50,"beurs.fd.nl (vorige, live 2026-09-02 10:01 CET)",2026-09-02T08:01Z
EXOR,72.50,"beurs.fd.nl (vorige, live 2026-09-02 10:01 CET)",2026-09-02T08:01Z
HEIA,72.62,"beurs.fd.nl (vorige, live 2026-09-02 10:01 CET)",2026-09-02T08:01Z
IMCD,98.12,"beurs.fd.nl (vorige, live 2026-09-02 10:01 CET)",2026-09-02T08:01Z
INGA,30.57,"beurs.fd.nl (vorige, live 2026-09-02 10:01 CET)",2026-09-02T08:01Z
INPST,15.54,"beurs.fd.nl (vorige, live 2026-09-02 10:01 CET)",2026-09-02T08:01Z
KPN,4.09,"beurs.fd.nl (vorige, live 2026-09-02 10:01 CET)",2026-09-02T08:01Z
MAGNUM,17.12,"beurs.fd.nl (vorige, live 2026-09-02 10:01 CET)",2026-09-02T08:01Z
MT,63.74,"beurs.fd.nl (vorige, live 2026-09-02 10:01 CET)",2026-09-02T08:01Z
NN,78.10,"beurs.fd.nl (vorige, live 2026-09-02 10:01 CET)",2026-09-02T08:01Z
PHIA,23.05,"beurs.fd.nl (vorige, live 2026-09-02 10:01 CET)",2026-09-02T08:01Z
PRX,37.35,"beurs.fd.nl (vorige, live 2026-09-02 10:01 CET)",2026-09-02T08:01Z
REN,30.92,"beurs.fd.nl (vorige, live 2026-09-02 10:01 CET)",2026-09-02T08:01Z
SBMO,35.66,"beurs.fd.nl (vorige, live 2026-09-02 10:01 CET)",2026-09-02T08:01Z
SHELL,40.16,"beurs.fd.nl (vorige, live 2026-09-02 10:01 CET)",2026-09-02T08:01Z
UMG,14.35,"beurs.fd.nl (vorige, live 2026-09-02 10:01 CET)",2026-09-02T08:01Z
UNA,56.16,"beurs.fd.nl (vorige, live 2026-09-02 10:01 CET)",2026-09-02T08:01Z
WDP,21.38,"beurs.fd.nl (vorige, live 2026-09-02 10:01 CET)",2026-09-02T08:01Z
WKL,69.78,"beurs.fd.nl (vorige, live 2026-09-02 10:01 CET)",2026-09-02T08:01Z
